pitch_type,game_date,release_speed,player_name,batter,pitcher,events,description,des,game_type,stand,p_throws,home_team,away_team,balls,strikes,game_year,on_1b,on_2b,on_3b,outs_when_up,inning,inning_topbot,hit_distance_sc,launch_speed,launch_angle,game_pk,sv_id,estimated_ba_using_speedangle,estimated_woba_using_speedangle,estimated_slg_using_speedangle,at_bat_number,pitch_number,pitch_name,bat_score,fld_score,bat_speed,swing_length,demo_batting_team
SL,2019-04-17,82.81972463835035,"Slugger, Demo",999001,800011,home_run,hit_into_play,Demo Slugger homers against SF. (Synthetic demonstration row.),R,L,L,SF,PHI,0,0,2019,,,,1,7,Top,459,107.5,37,700011,demo-play-0011,0.786,1.486,2.973,11,7,Slider,6,0,71.4,7.32,PHI
FC,2019-06-27,91.05279091320016,"Slugger, Demo",999001,800012,home_run,hit_into_play,Demo Slugger homers against NYM. (Synthetic demonstration row.),R,L,R,NYM,COL,2,1,2019,,700002.0,,0,3,Top,454,102.7,25,700012,demo-play-0012,0.68,1.399,2.735,12,6,Cutter,6,0,76.3,7.41,COL
SI,2019-07-16,95.92936579342117,"Slugger, Demo",999001,800013,home_run,hit_into_play,Demo Slugger homers against LAD. (Synthetic demonstration row.),R,L,L,LAD,PHI,3,2,2019,,,,2,1,Top,404,103.8,17,700013,demo-play-0013,0.705,1.42,2.792,13,7,Sinker,4,7,83.7,7.04,PHI
SL,2019-07-29,84.34514307447257,"Slugger, Demo",999001,800014,home_run,hit_into_play,Demo Slugger homers against CHC. (Synthetic demonstration row.),R,L,L,CHC,SD,2,0,2019,,700002.0,700003.0,1,3,Top,381,105.0,15,700014,demo-play-0014,0.73,1.44,2.848,14,5,Slider,2,1,82.1,6.81,SD
CH,2019-09-18,87.17378001598567,"Slugger, Demo",999001,800015,home_run,hit_into_play,Demo Slugger homers against SD. (Synthetic demonstration row.),R,L,L,SD,STL,0,1,2019,700001.0,,,0,1,Top,400,103.3,26,700015,demo-play-0015,0.694,1.41,2.766,15,7,Changeup,3,6,76.2,7.3,STL
FF,2019-10-08,93.42014164482653,"Slugger, Demo",999001,800016,home_run,hit_into_play,Demo Slugger homers against CHC. (Synthetic demonstration row.),R,L,L,CHC,SF,3,1,2019,,700002.0,,2,3,Top,485,104.9,42,700016,demo-play-0016,0.73,1.44,2.847,16,1,4-Seam Fastball,6,6,77.6,6.74,SF
CH,2019-10-23,89.95438715678904,"Slugger, Demo",999001,800017,home_run,hit_into_play,Demo Slugger homers against STL. (Synthetic demonstration row.),R,L,R,STL,SF,2,0,2019,,,,1,5,Top,428,103.8,26,700017,demo-play-0017,0.705,1.419,2.79,17,1,Changeup,1,3,77.1,8.16,SF
SL,2019-11-12,87.03224838718033,"Slugger, Demo",999001,800018,home_run,hit_into_play,Demo Slugger homers against COL. (Synthetic demonstration row.),R,L,R,COL,ARI,0,0,2019,,,,2,8,Top,409,103.6,27,700018,demo-play-0018,0.7,1.415,2.78,18,7,Slider,3,5,78.9,7.15,ARI
SI,2020-01-25,95.20139038197001,"Slugger, Demo",999001,800019,home_run,hit_into_play,Demo Slugger homers against PHI. (Synthetic demonstration row.),R,L,R,NYM,PHI,2,2,2020,700001.0,,,2,6,Bot,434,98.7,32,700019,demo-play-0019,0.59,1.326,2.533,19,8,Sinker,7,1,81.3,7.62,NYM
FC,2020-01-26,93.14849925777071,"Slugger, Demo",999001,800020,home_run,hit_into_play,Demo Slugger homers against PHI. (Synthetic demonstration row.),R,L,L,PHI,CHC,2,1,2020,,,,2,2,Top,407,105.7,18,700020,demo-play-0020,0.746,1.453,2.885,20,7,Cutter,7,6,81.7,6.27,CHC
CU,2020-06-19,81.80202190394594,"Slugger, Demo",999001,800021,home_run,hit_into_play,Demo Slugger homers against SD. (Synthetic demonstration row.),R,L,R,PHI,SD,0,2,2020,,,,1,7,Bot,473,114.1,30,700021,demo-play-0021,0.932,1.606,3.303,21,7,Curveball,2,4,75.5,7.49,PHI
SL,2020-10-01,87.4510163047765,"Slugger, Demo",999001,800022,home_run,hit_into_play,Demo Slugger homers against LAD. (Synthetic demonstration row.),R,L,R,LAD,SF,3,2,2020,,,,2,4,Top,437,104.8,37,700022,demo-play-0022,0.726,1.437,2.839,22,8,Slider,3,0,84.1,7.2,SF
FF,2020-11-09,92.63795530060983,"Slugger, Demo",999001,800023,home_run,hit_into_play,Demo Slugger homers against SD. (Synthetic demonstration row.),R,L,L,SD,PHI,2,1,2020,,,,1,3,Top,416,106.1,36,700023,demo-play-0023,0.756,1.461,2.906,23,5,4-Seam Fastball,0,3,76.2,7.06,PHI
FF,2020-11-22,94.91262173786967,"Slugger, Demo",999001,800024,home_run,hit_into_play,Demo Slugger homers against STL. (Synthetic demonstration row.),R,L,L,CHC,STL,3,0,2020,,,,0,3,Bot,453,106.3,32,700024,demo-play-0024,0.76,1.465,2.915,24,6,4-Seam Fastball,7,0,75.6,7.71,CHC
FC,2021-02-01,91.61646413110697,"Slugger, Demo",999001,800025,home_run,hit_into_play,Demo Slugger homers against NYM. (Synthetic demonstration row.),R,L,R,NYM,CHC,0,2,2021,,700002.0,,2,9,Top,431,92.0,22,700025,demo-play-0025,0.441,1.204,2.198,25,1,Cutter,0,5,80.7,7.35,CHC
FF,2021-02-28,92.98850957539673,"Slugger, Demo",999001,800026,home_run,hit_into_play,Demo Slugger homers against COL. (Synthetic demonstration row.),R,L,R,LAD,COL,0,2,2021,700001.0,,700003.0,0,5,Bot,408,96.9,21,700026,demo-play-0026,0.551,1.294,2.446,26,8,4-Seam Fastball,3,5,79.2,7.0,LAD
CH,2021-03-08,89.71305864884506,"Slugger, Demo",999001,800027,home_run,hit_into_play,Demo Slugger homers against NYM. (Synthetic demonstration row.),R,L,R,NYM,SD,1,1,2021,,,,0,2,Top,447,108.0,26,700027,demo-play-0027,0.797,1.495,2.999,27,4,Changeup,7,1,75.5,7.47,SD
FF,2021-03-19,95.15861944327384,"Slugger, Demo",999001,800028,home_run,hit_into_play,Demo Slugger homers against PHI. (Synthetic demonstration row.),R,L,R,SD,PHI,2,1,2021,,,,2,8,Bot,466,105.9,28,700028,demo-play-0028,0.751,1.457,2.895,28,5,4-Seam Fastball,4,2,74.4,7.15,SD
FF,2021-03-20,96.19067378716063,"Slugger, Demo",999001,800029,home_run,hit_into_play,Demo Slugger homers against PHI. (Synthetic demonstration row.),R,L,L,COL,PHI,2,1,2021,,,,2,6,Bot,429,107.5,24,700029,demo-play-0029,0.787,1.487,2.976,29,5,4-Seam Fastball,2,7,81.0,7.35,COL
CH,2021-06-21,88.5799774568801,"Slugger, Demo",999001,800030,home_run,hit_into_play,Demo Slugger homers against SD. (Synthetic demonstration row.),R,L,L,SD,COL,2,2,2021,700001.0,,700003.0,0,4,Top,438,104.5,22,700030,demo-play-0030,0.72,1.432,2.826,30,3,Changeup,4,2,74.9,7.77,COL
SL,2021-07-15,83.69599447033455,"Slugger, Demo",999001,800031,home_run,hit_into_play,Demo Slugger homers against LAD. (Synthetic demonstration row.),R,L,R,CHC,LAD,3,0,2021,,,,1,6,Bot,465,96.8,37,700031,demo-play-0031,0.55,1.292,2.441,31,4,Slider,2,6,70.5,7.15,CHC
FF,2021-09-18,97.80629911619839,"Slugger, Demo",999001,800032,home_run,hit_into_play,Demo Slugger homers against NYM. (Synthetic demonstration row.),R,L,R,PHI,NYM,2,0,2021,,,,1,4,Bot,464,110.1,29,700032,demo-play-0032,0.844,1.533,3.104,32,2,4-Seam Fastball,4,3,74.5,8.03,PHI
SL,2021-09-24,83.59478548451118,"Slugger, Demo",999001,800033,home_run,hit_into_play,Demo Slugger homers against PHI. (Synthetic demonstration row.),R,L,L,CHC,PHI,1,2,2021,,,,0,1,Bot,413,103.4,20,700033,demo-play-0033,0.696,1.412,2.77,33,1,Slider,0,2,73.1,7.42,CHC
CU,2021-09-30,81.11606070024976,"Slugger, Demo",999001,800034,home_run,hit_into_play,Demo Slugger homers against SF. (Synthetic demonstration row.),R,L,L,ATL,SF,2,1,2021,,,,1,8,Bot,415,104.6,28,700034,demo-play-0034,0.722,1.433,2.829,34,5,Curveball,3,7,73.4,6.78,ATL
FC,2021-10-05,90.07514355611245,"Slugger, Demo",999001,800035,home_run,hit_into_play,Demo Slugger homers against ARI. (Synthetic demonstration row.),R,L,L,PHI,ARI,2,1,2021,700001.0,700002.0,,1,6,Bot,439,100.3,27,700035,demo-play-0035,0.628,1.356,2.617,35,6,Cutter,3,3,70.9,7.27,PHI
CU,2021-10-18,81.08152694054252,"Slugger, Demo",999001,800036,home_run,hit_into_play,Demo Slugger homers against COL. (Synthetic demonstration row.),R,L,R,SF,COL,3,1,2021,,,,1,9,Bot,454,106.6,17,700036,demo-play-0036,0.767,1.47,2.93,36,7,Curveball,0,0,83.0,6.71,SF
SL,2021-10-25,85.42173799612826,"Slugger, Demo",999001,800037,home_run,hit_into_play,Demo Slugger homers against PHI. (Synthetic demonstration row.),R,L,L,PHI,ATL,3,2,2021,700001.0,,,0,7,Top,476,98.4,29,700037,demo-play-0037,0.585,1.321,2.521,37,8,Slider,7,6,69.8,7.56,ATL
FF,2021-11-08,92.50304429218431,"Slugger, Demo",999001,800038,home_run,hit_into_play,Demo Slugger homers against LAD. (Synthetic demonstration row.),R,L,L,LAD,COL,1,2,2021,700001.0,700002.0,,2,3,Top,439,101.9,23,700038,demo-play-0038,0.661,1.384,2.693,38,6,4-Seam Fastball,5,6,73.2,6.66,COL
FC,2021-11-08,90.30853450539422,"Slugger, Demo",999001,800039,home_run,hit_into_play,Demo Slugger homers against STL. (Synthetic demonstration row.),R,L,R,ARI,STL,0,2,2021,,,,0,5,Bot,444,113.9,24,700039,demo-play-0039,0.929,1.603,3.296,39,3,Cutter,1,3,81.6,8.57,ARI
CH,2021-12-14,88.43921180045773,"Slugger, Demo",999001,800040,home_run,hit_into_play,Demo Slugger homers against CHC. (Synthetic demonstration row.),R,L,L,CHC,PHI,3,0,2021,,,,1,7,Top,428,103.7,25,700040,demo-play-0040,0.702,1.417,2.785,40,3,Changeup,6,3,75.5,7.61,PHI
CU,2021-12-25,83.16862017779123,"Slugger, Demo",999001,800041,home_run,hit_into_play,Demo Slugger homers against PHI. (Synthetic demonstration row.),R,L,L,PHI,SD,2,1,2021,700001.0,700002.0,,0,2,Top,479,106.5,24,700041,demo-play-0041,0.763,1.467,2.923,41,8,Curveball,5,7,74.9,6.45,SD
CH,2022-01-03,86.76365008612851,"Slugger, Demo",999001,800042,home_run,hit_into_play,Demo Slugger homers against PHI. (Synthetic demonstration row.),R,L,R,PHI,ARI,2,0,2022,,,,0,9,Top,393,103.5,26,700042,demo-play-0042,0.698,1.414,2.776,42,3,Changeup,6,1,78.9,7.47,ARI
FF,2022-01-21,97.20276001370432,"Slugger, Demo",999001,800043,home_run,hit_into_play,Demo Slugger homers against STL. (Synthetic demonstration row.),R,L,R,ARI,STL,2,2,2022,,,,2,5,Bot,458,107.7,26,700043,demo-play-0043,0.792,1.491,2.987,43,4,4-Seam Fastball,1,1,81.2,7.07,ARI
CH,2022-03-26,83.88743038018217,"Slugger, Demo",999001,800044,home_run,hit_into_play,Demo Slugger homers against ARI. (Synthetic demonstration row.),R,L,L,ARI,ATL,2,0,2022,700001.0,,,2,3,Top,393,104.1,34,700044,demo-play-0044,0.711,1.424,2.804,44,3,Changeup,0,0,72.4,7.27,ATL
SL,2022-04-03,87.2226618369433,"Slugger, Demo",999001,800045,home_run,hit_into_play,Demo Slugger homers against LAD. (Synthetic demonstration row.),R,L,L,LAD,NYM,0,0,2022,700001.0,,,2,1,Top,455,108.7,25,700045,demo-play-0045,0.814,1.509,3.037,45,1,Slider,2,3,74.8,6.79,NYM
SI,2022-05-10,95.22770758473796,"Slugger, Demo",999001,800046,home_run,hit_into_play,Demo Slugger homers against ATL. (Synthetic demonstration row.),R,L,L,ARI,ATL,1,0,2022,700001.0,,,0,7,Bot,381,92.3,17,700046,demo-play-0046,0.448,1.209,2.214,46,2,Sinker,4,0,75.3,7.44,ARI
CU,2022-06-18,78.86700316877867,"Slugger, Demo",999001,800047,home_run,hit_into_play,Demo Slugger homers against LAD. (Synthetic demonstration row.),R,L,R,PHI,LAD,0,0,2022,700001.0,,,2,6,Bot,423,96.1,11,700047,demo-play-0047,0.533,1.279,2.405,47,4,Curveball,1,7,72.9,7.31,PHI
SL,2022-08-12,87.12340225519664,"Slugger, Demo",999001,800048,home_run,hit_into_play,Demo Slugger homers against SF. (Synthetic demonstration row.),R,L,L,SF,NYM,2,2,2022,,,,1,2,Top,485,117.4,39,700048,demo-play-0048,0.99,1.666,3.469,48,3,Slider,6,0,77.2,6.41,NYM
CH,2022-08-15,89.76100019352424,"Slugger, Demo",999001,800049,home_run,hit_into_play,Demo Slugger homers against ARI. (Synthetic demonstration row.),R,L,L,LAD,ARI,2,0,2022,700001.0,,,0,9,Bot,485,115.3,39,700049,demo-play-0049,0.959,1.627,3.363,49,7,Changeup,4,0,75.8,7.26,LAD
CH,2022-09-08,87.3583169958289,"Slugger, Demo",999001,800050,home_run,hit_into_play,Demo Slugger homers against ATL. (Synthetic demonstration row.),R,L,R,ATL,STL,1,1,2022,700001.0,,,1,2,Top,442,105.6,29,700050,demo-play-0050,0.744,1.451,2.878,50,6,Changeup,7,6,75.6,7.8,STL
FC,2022-10-07,93.3597297785681,"Slugger, Demo",999001,800051,home_run,hit_into_play,Demo Slugger homers against SF. (Synthetic demonstration row.),R,L,R,SF,SD,1,2,2022,,,,1,7,Top,427,100.6,19,700051,demo-play-0051,0.633,1.361,2.63,51,8,Cutter,4,7,74.0,7.43,SD
FF,2023-04-15,94.43001420181534,"Slugger, Demo",999001,800052,home_run,hit_into_play,Demo Slugger homers against LAD. (Synthetic demonstration row.),R,L,R,LAD,COL,1,0,2023,700001.0,,,0,4,Top,441,107.3,24,700052,demo-play-0052,0.782,1.483,2.965,52,2,4-Seam Fastball,2,3,69.5,7.31,COL
FF,2023-04-21,94.59230958113618,"Slugger, Demo",999001,800053,home_run,hit_into_play,Demo Slugger homers against ATL. (Synthetic demonstration row.),R,L,R,ATL,ARI,2,1,2023,,700002.0,,2,1,Top,461,90.0,30,700053,demo-play-0053,0.398,1.168,2.1,53,4,4-Seam Fastball,5,3,82.7,7.32,ARI
FC,2023-05-27,92.85039659244137,"Slugger, Demo",999001,800054,home_run,hit_into_play,Demo Slugger homers against STL. (Synthetic demonstration row.),R,L,L,STL,LAD,2,1,2023,,,,1,4,Top,485,106.3,30,700054,demo-play-0054,0.759,1.464,2.913,54,4,Cutter,2,3,76.0,7.47,LAD
FF,2023-06-27,94.09039013668435,"Slugger, Demo",999001,800055,home_run,hit_into_play,Demo Slugger homers against NYM. (Synthetic demonstration row.),R,L,L,SF,NYM,3,1,2023,700001.0,,,0,8,Bot,412,99.8,17,700055,demo-play-0055,0.616,1.346,2.59,55,4,4-Seam Fastball,2,1,72.5,7.66,SF
SL,2023-08-10,86.46089574321628,"Slugger, Demo",999001,800056,home_run,hit_into_play,Demo Slugger homers against SF. (Synthetic demonstration row.),R,L,R,SF,LAD,1,2,2023,,,,1,3,Top,418,94.1,27,700056,demo-play-0056,0.49,1.243,2.307,56,1,Slider,3,1,80.4,7.08,LAD
CU,2023-09-03,82.17894337686946,"Slugger, Demo",999001,800057,home_run,hit_into_play,Demo Slugger homers against LAD. (Synthetic demonstration row.),R,L,L,LAD,ARI,2,1,2023,,,,1,2,Top,430,102.3,24,700057,demo-play-0057,0.67,1.391,2.713,57,7,Curveball,3,0,75.5,8.09,ARI
FF,2023-09-18,95.83525328002479,"Slugger, Demo",999001,800058,home_run,hit_into_play,Demo Slugger homers against NYM. (Synthetic demonstration row.),R,L,L,PHI,NYM,0,2,2023,,,,0,6,Bot,423,104.2,18,700058,demo-play-0058,0.713,1.426,2.81,58,7,4-Seam Fastball,4,6,72.6,7.56,PHI
SI,2023-09-28,97.01147980832648,"Slugger, Demo",999001,800059,home_run,hit_into_play,Demo Slugger homers against SF. (Synthetic demonstration row.),R,L,L,NYM,SF,0,0,2023,,,,1,5,Bot,419,100.5,28,700059,demo-play-0059,0.63,1.359,2.624,59,3,Sinker,1,1,80.1,8.12,NYM
CH,2023-10-30,89.01823033530871,"Slugger, Demo",999001,800060,home_run,hit_into_play,Demo Slugger homers against SD. (Synthetic demonstration row.),R,L,R,STL,SD,1,0,2023,,,,1,2,Bot,451,98.8,26,700060,demo-play-0060,0.594,1.329,2.541,60,5,Changeup,5,1,67.0,7.49,STL
FC,2023-11-07,90.52555178948371,"Slugger, Demo",999001,800061,home_run,hit_into_play,Demo Slugger homers against PHI. (Synthetic demonstration row.),R,L,R,CHC,PHI,0,2,2023,,,,1,4,Bot,410,108.3,19,700061,demo-play-0061,0.804,1.5,3.013,61,2,Cutter,7,4,75.6,7.28,CHC
SI,2023-11-08,94.35699522944986,"Slugger, Demo",999001,800062,home_run,hit_into_play,Demo Slugger homers against ARI. (Synthetic demonstration row.),R,L,R,ATL,ARI,1,0,2023,,,,2,8,Bot,444,101.2,33,700062,demo-play-0062,0.647,1.372,2.66,62,4,Sinker,2,5,71.0,7.52,ATL
CH,2023-12-28,88.1296642479939,"Slugger, Demo",999001,800063,home_run,hit_into_play,Demo Slugger homers against ATL. (Synthetic demonstration row.),R,L,R,PHI,ATL,0,2,2023,,,,2,5,Bot,463,109.8,30,700063,demo-play-0063,0.837,1.528,3.088,63,2,Changeup,2,2,82.3,7.96,PHI
CH,2024-02-19,86.43314090180213,"Slugger, Demo",999001,800064,home_run,hit_into_play,Demo Slugger homers against STL. (Synthetic demonstration row.),R,L,R,STL,ARI,1,1,2024,,,,2,2,Top,448,109.9,28,700064,demo-play-0064,0.841,1.531,3.097,64,1,Changeup,2,5,74.7,7.68,ARI
CU,2024-03-12,80.58347730985206,"Slugger, Demo",999001,800065,home_run,hit_into_play,Demo Slugger homers against SF. (Synthetic demonstration row.),R,L,R,LAD,SF,0,2,2024,700001.0,,,0,7,Bot,389,102.6,15,700065,demo-play-0065,0.678,1.397,2.73,65,8,Curveball,7,5,78.2,6.25,LAD
CH,2024-03-16,86.79942227616496,"Slugger, Demo",999001,800066,home_run,hit_into_play,Demo Slugger homers against CHC. (Synthetic demonstration row.),R,L,L,CHC,SD,2,2,2024,700001.0,,,2,5,Top,463,105.7,27,700066,demo-play-0066,0.747,1.454,2.885,66,5,Changeup,2,3,78.8,7.64,SD
CU,2024-04-24,81.36815114126713,"Slugger, Demo",999001,800067,home_run,hit_into_play,Demo Slugger homers against ARI. (Synthetic demonstration row.),R,L,L,ARI,SF,1,1,2024,,,,2,9,Top,409,106.1,22,700067,demo-play-0067,0.755,1.461,2.905,67,2,Curveball,6,0,71.2,8.04,SF
SI,2024-04-29,95.81157531548679,"Slugger, Demo",999001,800068,home_run,hit_into_play,Demo Slugger homers against NYM. (Synthetic demonstration row.),R,L,R,NYM,COL,1,0,2024,700001.0,700002.0,,1,6,Top,440,106.2,30,700068,demo-play-0068,0.757,1.462,2.909,68,7,Sinker,1,6,75.7,7.2,COL
SL,2024-05-03,85.16146386388655,"Slugger, Demo",999001,800069,home_run,hit_into_play,Demo Slugger homers against SD. (Synthetic demonstration row.),R,L,L,ATL,SD,3,1,2024,700001.0,700002.0,,2,6,Bot,466,100.2,29,700069,demo-play-0069,0.625,1.354,2.61,69,2,Slider,2,3,74.6,6.6,ATL
SI,2024-05-23,92.95031210137445,"Slugger, Demo",999001,800070,home_run,hit_into_play,Demo Slugger homers against PHI. (Synthetic demonstration row.),R,L,R,PHI,CHC,1,2,2024,,,,2,8,Top,429,103.9,23,700070,demo-play-0070,0.707,1.421,2.795,70,6,Sinker,0,7,80.3,7.87,CHC
SL,2024-06-09,88.18570410849293,"Slugger, Demo",999001,800071,home_run,hit_into_play,Demo Slugger homers against COL. (Synthetic demonstration row.),R,L,L,SD,COL,2,2,2024,,,,0,8,Bot,406,99.1,32,700071,demo-play-0071,0.601,1.334,2.557,71,2,Slider,7,2,76.3,7.87,SD
CH,2024-06-22,87.30531880557564,"Slugger, Demo",999001,800072,home_run,hit_into_play,Demo Slugger homers against ARI. (Synthetic demonstration row.),R,L,R,SD,ARI,0,1,2024,,,,0,8,Bot,436,99.8,30,700072,demo-play-0072,0.615,1.346,2.588,72,2,Changeup,0,6,72.9,7.17,SD
SL,2024-07-02,86.10607400259433,"Slugger, Demo",999001,800073,home_run,hit_into_play,Demo Slugger homers against STL. (Synthetic demonstration row.),R,L,R,COL,STL,1,0,2024,,,,1,5,Bot,449,113.0,27,700073,demo-play-0073,0.908,1.586,3.249,73,6,Slider,6,7,77.7,7.11,COL
CU,2024-07-15,80.67698099612588,"Slugger, Demo",999001,800074,home_run,hit_into_play,Demo Slugger homers against PHI. (Synthetic demonstration row.),R,L,L,SD,PHI,3,1,2024,,,,1,2,Bot,457,106.6,34,700074,demo-play-0074,0.766,1.469,2.928,74,2,Curveball,4,1,74.7,7.17,SD
CU,2024-08-12,78.66127360449873,"Slugger, Demo",999001,800075,home_run,hit_into_play,Demo Slugger homers against SF. (Synthetic demonstration row.),R,L,L,SF,CHC,2,1,2024,700001.0,,,1,1,Top,467,119.8,40,700075,demo-play-0075,0.99,1.709,3.588,75,1,Curveball,6,2,76.5,7.48,CHC
SI,2024-09-07,93.4940836726701,"Slugger, Demo",999001,800076,home_run,hit_into_play,Demo Slugger homers against ATL. (Synthetic demonstration row.),R,L,L,SD,ATL,1,0,2024,,,,0,1,Bot,450,110.5,21,700076,demo-play-0076,0.852,1.54,3.123,76,4,Sinker,6,3,75.1,7.68,SD
SL,2024-10-30,85.32208939088152,"Slugger, Demo",999001,800077,home_run,hit_into_play,Demo Slugger homers against ARI. (Synthetic demonstration row.),R,L,R,ARI,SF,0,1,2024,700001.0,,,0,2,Top,423,100.1,37,700077,demo-play-0077,0.623,1.352,2.606,77,3,Slider,2,1,84.0,7.45,SF
SI,2024-11-13,90.40034595527743,"Slugger, Demo",999001,800078,home_run,hit_into_play,Demo Slugger homers against LAD. (Synthetic demonstration row.),R,L,L,PHI,LAD,3,0,2024,700001.0,,,0,1,Bot,364,104.4,22,700078,demo-play-0078,0.718,1.43,2.821,78,7,Sinker,5,4,78.7,6.85,PHI
SL,2024-11-27,84.20539466896275,"Slugger, Demo",999001,800079,home_run,hit_into_play,Demo Slugger homers against COL. (Synthetic demonstration row.),R,L,R,SD,COL,3,2,2024,,,,1,9,Bot,435,108.7,31,700079,demo-play-0079,0.814,1.509,3.037,79,7,Slider,4,3,78.0,7.61,SD
FC,2024-11-28,90.64056099446884,"Slugger, Demo",999001,800080,home_run,hit_into_play,Demo Slugger homers against SD. (Synthetic demonstration row.),R,L,R,SD,PHI,1,1,2024,,,,0,8,Top,438,99.7,39,700080,demo-play-0080,0.613,1.344,2.585,80,4,Cutter,7,4,73.2,7.45,PHI
FC,2024-12-19,91.45586146073245,"Slugger, Demo",999001,800081,home_run,hit_into_play,Demo Slugger homers against ATL. (Synthetic demonstration row.),R,L,R,ARI,ATL,1,1,2024,,,,0,7,Bot,447,105.3,39,700081,demo-play-0081,0.737,1.446,2.864,81,5,Cutter,6,7,78.3,7.6,ARI
FC,2025-02-11,93.89211249461768,"Slugger, Demo",999001,800082,home_run,hit_into_play,Demo Slugger homers against STL. (Synthetic demonstration row.),R,L,L,STL,PHI,3,0,2025,,700002.0,,0,6,Top,425,103.3,30,700082,demo-play-0082,0.694,1.41,2.766,82,7,Cutter,1,3,78.8,7.33,PHI
FC,2025-02-12,90.66868343700897,"Slugger, Demo",999001,800083,home_run,hit_into_play,Demo Slugger homers against ATL. (Synthetic demonstration row.),R,L,L,CHC,ATL,3,2,2025,,,,1,2,Bot,466,117.1,33,700083,demo-play-0083,0.99,1.661,3.456,83,7,Cutter,6,6,72.6,7.33,CHC
FF,2025-05-08,97.17264309456432,"Slugger, Demo",999001,800084,home_run,hit_into_play,Demo Slugger homers against ATL. (Synthetic demonstration row.),R,L,R,SD,ATL,2,2,2025,,,,2,7,Bot,445,109.1,32,700084,demo-play-0084,0.821,1.515,3.053,84,7,4-Seam Fastball,1,6,77.4,7.58,SD
